continent,location,Pearsons r
Africa,Benin,NULL
Africa,Lesotho,NULL
Africa,Saint Helena,NULL
Asia,Macao,NULL
Asia,Northern Cyprus,NULL
Asia,Turkmenistan,NULL
Europe,Faeroe Islands,NULL
Europe,Gibraltar,NULL
Europe,Guernsey,NULL
Europe,Isle of Man,NULL
Europe,Jersey,NULL
North America,Anguilla,NULL
North America,Aruba,NULL
North America,Bermuda,NULL
North America,Bonaire Sint Eustatius and Saba,NULL
North America,British Virgin Islands,NULL
North America,Cayman Islands,NULL
North America,Curacao,NULL
North America,Greenland,NULL
North America,Haiti,NULL
North America,Montserrat,NULL
North America,Nicaragua,NULL
North America,Sint Maarten (Dutch part),NULL
North America,Turks and Caicos Islands,NULL
Oceania,Cook Islands,NULL
Oceania,French Polynesia,NULL
Oceania,Nauru,NULL
Oceania,New Caledonia,NULL
Oceania,Niue,NULL
Oceania,Pitcairn,NULL
Oceania,Samoa,NULL
Oceania,Solomon Islands,NULL
Oceania,Tonga,NULL
Oceania,Tuvalu,NULL
Oceania,Vanuatu,NULL
Oceania,Wallis and Futuna,NULL
South America,Falkland Islands,NULL
Africa,Madagascar,-0.999999999999447
Africa,Burkina Faso,-0.999999998409251
North America,Antigua and Barbuda,-0.995645295915364
Europe,Albania,-0.973341247089111
Europe,Slovakia,-0.957552282004942
Africa,Cameroon,-0.953545165803298
Asia,Armenia,-0.927171133022516
North America,Jamaica,-0.915196300384166
NULL,Europe,-0.914466530216532
Europe,Moldova,-0.845188148748473
Africa,Mauritius,-0.819085668414026
North America,Barbados,-0.816181809885421
NULL,North America,-0.813848028799177
Europe,Bosnia and Herzegovina,-0.809443239828335
Asia,United Arab Emirates,-0.789936527412919
Europe,Latvia,-0.782891081777279
Africa,Sao Tome and Principe,-0.77545073132556
Asia,Lebanon,-0.773464758743562
Europe,Switzerland,-0.770002922444239
South America,Peru,-0.7670247354112
NULL,European Union,-0.764087843534975
Africa,Mali,-0.7323474469502
Africa,Central African Republic,-0.731319394998107
Africa,Cote d'Ivoire,-0.729949375208323
Europe,Czechia,-0.729741126706437
Europe,Malta,-0.698352125143098
Asia,Hong Kong,-0.687931945533294
North America,United States,-0.675061441652512
Europe,Slovenia,-0.666418322474294
Europe,Montenegro,-0.643180594279408
